Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
sample61,Mitochondrion,,0.40860000252723694,0.3743000030517578,0.4325999915599823,0.05260000005364418,0.7289999723434448,0.11050000041723251,0.03099999949336052,0.03449999913573265,0.07739999890327454,0.0560000017285347
sample62,Mitochondrion,,0.3871999979019165,0.34439998865127563,0.3813000023365021,0.18449999392032623,0.6348000168800354,0.028999999165534973,0.05860000103712082,0.033900000154972076,0.0820000022649765,0.20919999480247498
sample63,Extracellular,,0.38100001215934753,0.37720000743865967,0.6570000052452087,0.133200004696846,0.5809999704360962,0.03620000183582306,0.0142000000923872,0.020500000566244125,0.04500000178813934,0.17059999704360962
sample64,Extracellular|Mitochondrion,,0.3249000012874603,0.2468000054359436,0.7487999796867371,0.24709999561309814,0.7878999710083008,0.07119999825954437,0.05400000140070915,0.026399999856948853,0.09839999675750732,0.031099999323487282
sample65,Extracellular|Mitochondrion,,0.23690000176429749,0.25209999084472656,0.6184999942779541,0.1826000064611435,0.743399977684021,0.06679999828338623,0.005200000014156103,0.024000000208616257,0.03629999980330467,0.1527000069618225
sample66,Extracellular,,0.35670000314712524,0.21619999408721924,0.770799994468689,0.15760000050067902,0.6202999949455261,0.0203000009059906,0.05350000038743019,0.08640000224113464,0.12020000070333481,0.27480000257492065
sample67,Extracellular|Mitochondrion,,0.40540000796318054,0.16269999742507935,0.7264000177383423,0.24120000004768372,0.7799999713897705,0.08229999989271164,0.04230000078678131,0.02290000021457672,0.06210000067949295,0.05649999901652336
sample68,Cytoplasm|Mitochondrion,,0.53329998254776,0.38449999690055847,0.5763000249862671,0.2777000069618225,0.6394000053405762,0.047200001776218414,0.04690000042319298,0.012900000438094139,0.04619999974966049,0.21490000188350677
sample69,Mitochondrion,,0.4390000104904175,0.28380000591278076,0.5351999998092651,0.16590000689029694,0.5741000175476074,0.08500000089406967,0.008200000040233135,0.024800000712275505,0.04100000113248825,0.21570000052452087
sample70,Mitochondrion,Peroxisomal targeting signal,0.35899999737739563,0.18170000612735748,0.36500000953674316,0.12999999523162842,0.7732999920845032,0.03539999946951866,0.008700000122189522,0.014000000432133675,0.024800000712275505,0.29580000042915344
sample71,Mitochondrion,Mitochondrial transit peptide,0.25369998812675476,0.12639999389648438,0.15489999949932098,0.11959999799728394,0.9577999711036682,0.0038999998942017555,0.012799999676644802,0.012500000186264515,0.0215000007301569,0.023000000044703484
